ENODEBID	LONGITUDE	LATITUDE	ÄæÊ±ÕëË³Ðò±êºÅ
565466	102.746	24.9555	0
565026	102.872	25.01466	1
568209	102.879	25.024444	2
33237	102.895	25.050191	3
565025	102.895	25.095	4
568313	102.863	25.09831	5
566770	102.768	25.10243	6
566871	102.736	25.10088	7
567422	102.719	25.096666	8
566368	102.678	25.05902	9
566343	102.677	25.05719	10
33122	102.676	25.05218	11
565884	102.675	25.03436	12
566091	102.675	25.01318	13
33181	102.675	25.00996	14
567580	102.675	24.99597	15
566022	102.676	24.99248	16
566038	102.686	24.98032	17
567506	102.704	24.97184	18
565676	102.74	24.95721	19
565466	102.746	24.9555	20
